Source,Target,Weight
WO2017160234-A1,US11053477-B2,1.0
WO2017160234-A1,US11066650-B2,1.0
WO2017160234-A1,US10174289-B2,1.0
WO2017160234-A1,EP3766965-A4,1.0
WO2017160234-A1,CN112996906-A,1.0
WO2017160234-A1,CN114026222-A,1.0
WO2017160234-A1,EP3882342-A4,1.0
WO2016081751-A1,WO2017216113-A3,1.0
WO2016081751-A1,US11629319-B2,1.0
WO2016081751-A1,CN109804057-A,1.0
US20030175410-A1,US10179194-B2,1.0
CN106483117-A,CN114414531-B,1.0
CN108384717-A,CN114026215-A,1.0
US5827740-A,US7311904-B2,1.0
US5827740-A,US2008131966-A1,1.0
US5827740-A,US2002160510-A1,1.0
US5827740-A,US7468276-B2,1.0
US5827740-A,US8293223-B2,1.0
US5827740-A,US2003032179-A1,1.0
US5827740-A,US8435788-B2,1.0
US5827740-A,US7255879-B2,1.0
WO2020047010-A8,US11434524-B2,1.0
WO2020047010-A8,US11624086-B2,1.0
US20160177270-A1,US11767515-B2,1.0
US20160177270-A1,US11053477-B2,1.0
US20160177270-A1,US11066650-B2,1.0
JP2015012827-A,US11661574-B2,1.0
WO2017142069-A1,US11767515-B2,1.0
WO2017142069-A1,US11053477-B2,1.0
WO2017142069-A1,US11066650-B2,1.0
WO2017142069-A1,US10174289-B2,1.0
WO2017142069-A1,CN113308437-B,1.0
EP4060552-A1,CN116012838-B,1.0
WO2007113505-A2,EP3060650-A4,1.0
WO2007113505-A2,US10087416-B2,1.0
US10087416-B2,US11767515-B2,1.0
US10087416-B2,US11053477-B2,1.0
US10087416-B2,US11066650-B2,1.0
WO2007030290-A2,US10947510-B2,1.0
WO2007030290-A2,US9765301-B2,1.0
WO2007030290-A2,US11034935-B2,1.0
US4382685-A,US11661574-B2,1.0
US20130280809-A1,US10947510-B2,1.0
US20130280809-A1,US11725184-B2,1.0
US20130280809-A1,US11591572-B2,1.0
US20130280809-A1,US10597633-B2,1.0
US20130280809-A1,US11034935-B2,1.0
WO2004085421-A3,EP3884935-B1,1.0
US20050074873-A1,US11661574-B2,1.0
WO2013093812-A2,US10947510-B2,1.0
WO2013093812-A2,US11629385-B2,1.0
WO2013093812-A2,US11767515-B2,1.0
WO2013093812-A2,US11053477-B2,1.0
WO2013093812-A2,US11725184-B2,1.0
WO2013093812-A2,US11066650-B2,1.0
WO2013093812-A2,US9765301-B2,1.0
WO2013093812-A2,EP3789049-A1,1.0
WO2013093812-A2,US10174289-B2,1.0
WO2013093812-A2,US11591572-B2,1.0
WO2013093812-A2,US10597633-B2,1.0
WO2013093812-A2,WO2016083613-A3,1.0
WO2013093812-A2,US11034935-B2,1.0
WO2013093812-A2,US11561178-B2,1.0
US20070020225-A1,US9944896-B2,1.0
US20070020225-A1,US10640747-B2,1.0
US20070020225-A1,US2010260847-A1,1.0
US20070020225-A1,US10246678-B2,1.0
US20070020225-A1,US8293223-B2,1.0
US20070020225-A1,US8435788-B2,1.0
WO1995009627-A1,EP3884935-A1,1.0
WO1995009627-A1,EP3884935-B1,1.0
WO2016086040-A1,US11473061-B2,1.0
US20190211310-A1,US11685901-B2,1.0
JP2016516722-A,EP3932486-A4,1.0
US8828413-B2,US10694739-B2,1.0
US8828413-B2,US9986733-B2,1.0
US8828413-B2,US11510407-B2,1.0
US20070216897-A1,US11661574-B2,1.0
CN106232801-A,CN113840907-A,1.0
CN106119186-A,CN111849860-B,1.0
US7138375-B2,US10694739-B2,1.0
US7138375-B2,US9986733-B2,1.0
US7138375-B2,US11510407-B2,1.0
WO2012118799-A2,US11767515-B2,1.0
WO2012118799-A2,RU2741806-C2,1.0
WO2012118799-A2,US11773359-B2,1.0
WO2012118799-A2,US11053477-B2,1.0
WO2012118799-A2,US11066650-B2,1.0
WO2012118799-A2,US11629319-B2,1.0
WO2012118799-A2,US10222370-B2,1.0
WO2012118799-A2,US11473061-B2,1.0
WO2012118799-A2,EP3223831-B1,1.0
WO2012118799-A2,US10174289-B2,1.0
WO2012118799-A2,US10954482-B2,1.0
WO2012118799-A2,EP3411470-A4,1.0
WO2012118799-A2,US10852297-B2,1.0
US4720462-A,US11773359-B2,1.0
US4720462-A,US10472612-B2,1.0
US4720462-A,US10655098-B2,1.0
US4720462-A,US10954482-B2,1.0
US20160244724-A1,US11767515-B2,1.0
WO2012014076-A3,US10597633-B2,1.0
WO2012014076-A3,CN107970435-B,1.0
US7522757-B2,US10996454-B2,1.0
US10996454-B2,US11841491-B2,1.0
WO2016171649-A1,US11767514-B2,1.0
US20140364583-A1,US10694739-B2,1.0
US20140364583-A1,US9986733-B2,1.0
US20140364583-A1,US11510407-B2,1.0
EP428302-A3,EP3884935-A1,1.0
US20050266554-A1,US11767515-B2,1.0
US20050266554-A1,US11053477-B2,1.0
US20050266554-A1,US11066650-B2,1.0
US20050266554-A1,US10174289-B2,1.0
US20180216058-A1,US11732226-B2,1.0
WO2017077535-A1,US11767515-B2,1.0
WO2017077535-A1,US11053477-B2,1.0
WO2017077535-A1,US11066650-B2,1.0
WO2017077535-A1,US10174289-B2,1.0
US5807686-A,US7468276-B2,1.0
US5807686-A,US8293223-B2,1.0
US5807686-A,US2003032179-A1,1.0
US5807686-A,US7255879-B2,1.0
US5670147-A,US7468276-B2,1.0
US5670147-A,US8293223-B2,1.0
US5670147-A,US2003032179-A1,1.0
