PatentNumber,CitedByOthers,CitesOthers,TotalDegree,GlobalEfficiency,SubgraphEfficiency,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,ComponentSize,Connectivity
US10695419-B2,18,8,26,0.03902327472503229,0.33506350684971675,3.335468032874373e-06,0,0.6184615384615385,114,0.3266
US11197927-B2,0,10,10,0.03902327472503229,0.33506350684971675,0.0,0,0.8222222222222222,114,0.3266
US11541113-B2,0,11,11,0.03902327472503229,0.33506350684971675,0.0,0,0.8363636363636363,114,0.3266
US10272150-B2,3,7,10,0.03902327472503229,0.33506350684971675,4.9088888152785605e-05,0,0.28888888888888886,114,0.3266
US10702599-B2,3,8,11,0.03902327472503229,0.33506350684971675,5.4609662827888006e-05,0,0.2909090909090909,114,0.3266
US11872278-B2,0,20,20,0.03902327472503229,0.33506350684971675,0.0,0,0.6210526315789474,114,0.3266
US10064935-B2,26,3,29,0.03902327472503229,0.33506350684971675,8.01662489280496e-05,0,0.4014778325123153,114,0.3266
US10716846-B2,0,8,8,0.03902327472503229,0.33506350684971675,0.0,0,0.5357142857142857,114,0.3266
US11484590-B2,0,12,12,0.03902327472503229,0.33506350684971675,0.0,0,0.7121212121212122,114,0.3266
US10493143-B2,20,7,27,0.03902327472503229,0.33506350684971675,4.7041600877435115e-05,0,0.5527065527065527,114,0.3266
US10307472-B2,2,2,4,0.03902327472503229,0.33506350684971675,0.0,0,0.6666666666666666,114,0.3266
US11110157-B2,0,7,7,0.03902327472503229,0.33506350684971675,0.0,0,0.47619047619047616,114,0.3266
US10588959-B2,0,0,0,0.03902327472503229,0.0,0.0,0,0.0,1,0.0029
US11266735-B2,2,0,2,0.03902327472503229,0.33506350684971675,0.0,0,0.0,114,0.3266
US9974845-B2,3,2,5,0.03902327472503229,0.33506350684971675,0.0,0,0.8,114,0.3266
US10117920-B2,3,2,5,0.03902327472503229,0.33506350684971675,0.0,0,0.8,114,0.3266
US10434158-B2,2,4,6,0.03902327472503229,0.33506350684971675,0.0,0,0.8,114,0.3266
US11458195-B2,0,7,7,0.03902327472503229,0.33506350684971675,0.0,0,0.47619047619047616,114,0.3266
US9623095-B2,6,0,6,0.03902327472503229,0.33506350684971675,0.0,0,0.4,114,0.3266
US10172935-B2,2,1,3,0.03902327472503229,0.33506350684971675,1.656232402530723e-05,0,0.0,114,0.3266
US10596252-B2,0,1,1,0.03902327472503229,0.33506350684971675,0.0,0,0.0,114,0.3266
